Sat Mar 26 17:14:11 2022    code_analysis/output.dat

         148516617 function calls (148402911 primitive calls) in 763.523 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1630    0.001    0.000    0.002    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\packaging\version.py:74(__lt__)
     1594    0.002    0.000    0.002    0.000 D:\Documents\Coding\Chess\evaluation\rays.py:93(<listcomp>)
     1588    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\packaging\version.py:490(<lambda>)
     1536    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:2095(__bool__)
     1520    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\sre_parse.py:249(match)
     1393    0.002    0.000    0.077    0.000 C:\Users\Adam\anaconda3\lib\genericpath.py:39(isdir)
     1392    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
     1390    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     1352    0.009    0.000    0.016    0.000 C:\Users\Adam\anaconda3\lib\ntpath.py:180(split)
     1284    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     1246    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     1238    0.001    0.000    0.001    0.000 D:\Documents\Coding\Chess\generate_moves.py:445(<listcomp>)
     1214    0.001    0.000    0.001    0.000 D:\Documents\Coding\Chess\generate_moves.py:308(<listcomp>)
     1164    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\packaging\version.py:461(_parse_local_version)
     1164    0.005    0.000    0.005    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\packaging\version.py:474(_cmpkey)
     1161    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\sre_parse.py:160(__len__)
     1104    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
     1077    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\threading.py:513(is_set)
     1077    0.001    0.000    0.001    0.000 C:\Users\Adam\anaconda3\lib\threading.py:1017(_wait_for_tstate_lock)
     1077    0.001    0.000    0.003    0.000 C:\Users\Adam\anaconda3\lib\threading.py:1071(is_alive)
     1077    0.001    0.000    0.001    0.000 C:\Users\Adam\anaconda3\lib\site-packages\ipykernel\iostream.py:93(_event_pipe)
     1077    0.003    0.000    0.025    0.000 C:\Users\Adam\anaconda3\lib\site-packages\ipykernel\iostream.py:197(schedule)
     1077    0.018    0.000    0.018    0.000 C:\Users\Adam\anaconda3\lib\site-packages\zmq\sugar\socket.py:432(send)
     1077    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
     1077    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
     1066    0.001    0.000    0.006    0.000 C:\Users\Adam\anaconda3\lib\ntpath.py:203(splitext)
     1066    0.002    0.000    0.004    0.000 C:\Users\Adam\anaconda3\lib\genericpath.py:121(_splitext)
     1064    0.004    0.000    0.212    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:2118(distributions_from_metadata)
     1017    0.002    0.000    0.003    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:2810(__getattr__)
      973    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      960    0.001    0.000    0.001    0.000 D:\Documents\Coding\Chess\evaluation\rays.py:91(<listcomp>)
      942    0.001    0.000    0.001    0.000 C:\Users\Adam\anaconda3\lib\site-packages\ipykernel\iostream.py:310(_is_master_process)
      942    0.000    0.000    0.002    0.000 C:\Users\Adam\anaconda3\lib\site-packages\ipykernel\iostream.py:323(_schedule_flush)
      942    0.003    0.000    0.029    0.000 C:\Users\Adam\anaconda3\lib\site-packages\ipykernel\iostream.py:386(write)
      942    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
      922    0.005    0.000    0.005    0.000 {method 'fill' of 'pygame.Surface' objects}
      921    0.000    0.000    0.000    0.000 {method 'set_alpha' of 'pygame.Surface' objects}
      874    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      801    0.001    0.000    0.010    0.000 C:\Users\Adam\anaconda3\lib\ntpath.py:221(dirname)
      797    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\sre_parse.py:172(append)
      778    0.000    0.000    0.000    0.000 {method 'zfill' of 'str' objects}
      761    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      739    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      713    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      713    0.008    0.000    0.152    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      694    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\sre_parse.py:286(tell)
      685    0.002    0.000    0.115    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:2763(_get_metadata)
      678    0.001    0.000    0.001    0.000 D:\Documents\Coding\Chess\generate_moves.py:451(<listcomp>)
      661    0.000    0.000    0.001    0.000 C:\Users\Adam\anaconda3\lib\pkgutil.py:405(get_importer)
      644    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\packaging\version.py:352(post)
      641    0.009    0.000    0.009    0.000 {method 'render' of 'pygame.font.Font' objects}
      636    0.005    0.000    0.029    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:1312(safe_version)
      636    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\packaging\version.py:346(pre)
      636    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\packaging\version.py:362(local)
      635    0.003    0.000    0.161    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:2185(_handle_ns)
      634    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:342(__init__)
      634    0.003    0.000    0.006    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\packaging\version.py:305(__str__)
      634    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\packaging\version.py:334(epoch)
      634    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\packaging\version.py:340(release)
      634    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\packaging\version.py:357(dev)
      613    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\generate_moves.py:306(<listcomp>)
      605    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      590    0.001    0.000    0.025    0.000 C:\Users\Adam\anaconda3\lib\re.py:289(_compile)
      565    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
  563/108    0.001    0.000    0.001    0.000 C:\Users\Adam\anaconda3\lib\sre_parse.py:174(getwidth)
      562    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\sre_parse.py:111(__init__)
      554    0.001    0.000    0.050    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:2052(<genexpr>)
      554    0.002    0.000    0.375    0.001 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:2032(find_on_path)
      547    0.057    0.000    0.057    0.000 {built-in method nt.listdir}
      540    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      536    0.000    0.000    0.006    0.000 C:\Users\Adam\anaconda3\lib\ntpath.py:214(basename)
