Mon Apr  4 20:26:35 2022    code_analysis/output.dat

         7947 function calls (7945 primitive calls) in 242.290 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\generate_moves.py:362(<genexpr>)
        1    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\evaluation\all_eval.py:156(<listcomp>)
        5    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\ipykernel\iostream.py:93(_event_pipe)
        2    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\generate_moves.py:295(<listcomp>)
        1    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\evaluation\all_eval.py:159(<listcomp>)
        3    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\evaluation\rays.py:79(<listcomp>)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(round_)
        1    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\evaluation\all_eval.py:157(<listcomp>)
        5    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\evaluation\all_eval.py:158(<listcomp>)
        3    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\evaluation\rays.py:81(<listcomp>)
        2    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\Chess_engine.py:163(<dictcomp>)
        2    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:3709(round_)
        2    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:3199(around)
       12    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:194(_reshape_dispatcher)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(around)
       12    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\generate_moves.py:297(<listcomp>)
        5    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\threading.py:513(is_set)
        4    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\ipykernel\iostream.py:323(_schedule_flush)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        4    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
        1    0.000    0.000    0.000    0.000 {built-in method sys.exit}
        1    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\generate_moves.py:373(<listcomp>)
        2    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\generate_moves.py:301(<listcomp>)
        1    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\generate_moves.py:375(<listcomp>)
        1    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\generate_moves.py:443(<listcomp>)
        2    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\evaluation\rays.py:85(<listcomp>)
        2    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\generate_moves.py:303(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method pygame.time.Clock}
        1    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\generate_moves.py:445(<listcomp>)
        5    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        2    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\evaluation\rays.py:87(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:3195(_around_dispatcher)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\evaluation\opening.py:6(opening_eval)


